time,ppg,score
13:00:00.015466,417,2
13:00:00.015466,414,2
13:00:00.031478,414,2
13:00:00.047489,412,2
13:00:00.047489,415,2
13:00:00.063501,414,2
13:00:00.063501,418,2
13:00:00.079511,420,2
13:00:00.095523,426,2
13:00:00.095523,430,2
13:00:00.111537,439,2
13:00:00.127552,446,2
13:00:00.127552,457,2
13:00:00.143297,466,2
13:00:00.143297,478,2
13:00:00.159329,487,2
13:00:00.175298,500,2
13:00:00.175298,508,2
13:00:00.192421,519,2
13:00:00.207910,525,2
13:00:00.209410,533,2
13:00:00.223450,537,2
13:00:00.225456,543,2
13:00:00.240469,545,2
13:00:00.255383,549,2
13:00:00.255956,549,2
13:00:00.270994,552,2
13:00:00.287298,551,2
13:00:00.287298,554,2
13:00:00.303346,552,2
13:00:00.303346,554,2
13:00:00.319414,552,2
13:00:00.335430,552,2
13:00:00.336432,549,2
13:00:00.351441,549,2
13:00:00.367333,545,2
13:00:00.367333,543,2
13:00:00.383355,539,2
13:00:00.383355,537,2
13:00:00.399375,533,2
13:00:00.415422,531,2
13:00:00.415422,527,2
13:00:00.431321,526,2
13:00:00.447518,522,2
13:00:00.447804,521,2
13:00:00.462819,517,2
13:00:00.463822,516,2
13:00:00.479439,511,2
13:00:00.495541,510,2
13:00:00.495836,505,2
13:00:00.511350,503,2
13:00:00.526865,498,2
13:00:00.527867,496,2
13:00:00.543162,491,2
13:00:00.559170,489,2
13:00:00.559170,484,2
13:00:00.575182,483,2
13:00:00.575182,479,2
13:00:00.591193,478,2
13:00:00.607713,475,2
13:00:00.608712,474,2
13:00:00.623313,469,2
13:00:00.638954,468,2
13:00:00.639959,463,2
13:00:00.655321,460,2
13:00:00.655321,454,2
13:00:00.671299,451,2
13:00:00.687424,445,2
13:00:00.688437,442,2
13:00:00.703454,436,2
13:00:00.718844,433,2
13:00:00.719823,428,2
13:00:00.735469,427,2
13:00:00.735469,422,2
13:00:00.751483,420,2
13:00:00.767450,416,2
13:00:00.767450,417,2
13:00:00.783109,415,2
13:00:00.799525,416,2
13:00:00.801033,414,2
13:00:00.815103,416,2
13:00:00.816074,415,2
13:00:00.831103,418,2
13:00:00.847459,418,2
13:00:00.847459,421,2
13:00:00.863466,421,2
13:00:00.879493,424,2
13:00:00.879493,423,2
13:00:00.895409,427,2
13:00:00.895409,427,2
13:00:00.911299,430,2
13:00:00.927384,431,2
13:00:00.928018,435,2
13:00:00.943055,437,2
13:00:00.959154,443,2
13:00:00.959154,447,2
13:00:00.975446,456,2
13:00:00.977455,463,2
13:00:00.991463,474,2
13:00:01.007743,483,2
14:00:00.002285,758,2
14:00:00.018287,758,2
14:00:00.019293,758,2
14:00:00.034810,758,2
14:00:00.035803,758,2
14:00:00.049814,758,2
14:00:00.066017,758,2
14:00:00.066017,758,2
14:00:00.082158,758,2
14:00:00.098172,758,2
14:00:00.098172,758,2
14:00:00.114160,758,2
14:00:00.114160,758,2
14:00:00.130326,758,2
14:00:00.145346,758,2
14:00:00.146716,755,2
14:00:00.161727,753,2
14:00:00.178231,740,2
14:00:00.178231,725,2
14:00:00.194253,694,2
14:00:00.209266,660,2
14:00:00.210267,615,2
14:00:00.226048,574,2
14:00:00.226048,527,2
14:00:00.242290,486,2
14:00:00.258059,442,2
14:00:00.261053,406,2
14:00:00.285082,368,2
14:00:00.290091,340,2
14:00:00.290091,311,2
14:00:00.307086,291,2
14:00:00.308086,269,2
14:00:00.322098,256,2
14:00:00.338112,241,2
14:00:00.338610,235,2
14:00:00.354127,227,2
14:00:00.374140,228,2
14:00:00.374140,225,2
14:00:00.386147,232,2
14:00:00.387149,234,2
14:00:00.401824,245,2
14:00:00.418103,251,2
14:00:00.418103,265,2
14:00:00.435109,273,2
14:00:00.450127,288,2
14:00:00.452131,297,2
14:00:00.466137,311,2
14:00:00.467141,320,2
14:00:00.481483,336,2
14:00:00.498139,345,2
14:00:00.498139,361,2
14:00:00.514153,372,2
14:00:00.530166,390,2
14:00:00.530670,402,2
14:00:00.546070,421,2
14:00:00.546070,434,2
14:00:00.562156,454,2
14:00:00.578097,468,2
14:00:00.579095,488,2
14:00:00.594133,502,2
14:00:00.610462,521,2
14:00:00.611433,532,2
14:00:00.626446,548,2
14:00:00.626446,556,2
14:00:00.641959,570,2
14:00:00.658108,575,2
14:00:00.658108,583,2
14:00:00.674132,585,2
14:00:00.690146,590,2
14:00:00.690146,588,2
14:00:00.706049,592,2
14:00:00.706049,590,2
14:00:00.722191,593,2
14:00:00.738719,591,2
14:00:00.739213,596,2
14:00:00.754733,595,2
14:00:00.769741,601,2
14:00:00.770744,601,2
14:00:00.791756,608,2
14:00:00.792757,610,2
14:00:00.805766,618,2
14:00:00.820777,621,2
14:00:00.821778,629,2
14:00:00.835790,631,2
14:00:00.849806,638,2
14:00:00.851807,638,2
14:00:00.866816,642,2
14:00:00.867822,639,2
14:00:00.886830,640,2
14:00:00.897837,633,2
14:00:00.897837,630,2
14:00:00.914245,619,2
14:00:00.930274,612,2
14:00:00.930274,597,2
14:00:00.946124,588,2
14:00:00.946124,570,2
14:00:00.962198,558,2
14:00:00.978086,538,2
14:00:00.979122,523,2
14:00:00.994104,503,2
15:00:00.006833,412,3
15:00:00.007834,414,3
15:00:00.022844,409,3
15:00:00.023844,410,3
15:00:00.038855,405,3
15:00:00.054891,406,3
15:00:00.054891,401,3
15:00:00.070418,401,3
15:00:00.086426,397,3
15:00:00.087428,398,3
15:00:00.102910,395,3
15:00:00.102910,397,3
15:00:00.118816,393,3
15:00:00.134685,394,3
15:00:00.135685,390,3
15:00:00.150695,390,3
15:00:00.167227,385,3
15:00:00.168730,386,3
15:00:00.182764,381,3
15:00:00.183758,381,3
15:00:00.199775,378,3
15:00:00.215781,380,3
15:00:00.215781,377,3
15:00:00.231803,380,3
15:00:00.248809,378,3
15:00:00.249815,381,3
15:00:00.263320,378,3
15:00:00.265326,380,3
15:00:00.283837,378,3
15:00:00.294846,382,3
15:00:00.297852,381,3
15:00:00.310809,384,3
15:00:00.326822,383,3
15:00:00.326822,388,3
15:00:00.342578,388,3
15:00:00.342578,393,3
15:00:00.358789,392,3
15:00:00.374728,396,3
15:00:00.374728,395,3
15:00:00.391038,400,3
15:00:00.407004,400,3
15:00:00.407004,405,3
15:00:00.422107,405,3
15:00:00.423113,409,3
15:00:00.438850,408,3
15:00:00.455010,412,3
15:00:00.455010,411,3
15:00:00.470947,415,3
15:00:00.487089,415,3
15:00:00.487089,420,3
15:00:00.503121,420,3
15:00:00.503121,425,3
15:00:00.518861,424,3
15:00:00.535288,427,3
15:00:00.535288,426,3
15:00:00.550707,428,3
15:00:00.567228,427,3
15:00:00.567729,430,3
15:00:00.582790,429,3
15:00:00.582790,433,3
15:00:00.598857,432,3
15:00:00.615514,435,3
15:00:00.617511,432,3
15:00:00.631518,434,3
15:00:00.647523,431,3
15:00:00.648531,433,3
15:00:00.663204,429,3
15:00:00.663711,431,3
